0.0 Tell me , Mr . Han . What do you suggest if we establish long term business relations ? 	1.0  Surely it's a sound idea , Mr . Joey . But I have a few questions for you first . 
0.0 /start	1.0 What’s your favorite movie?
0.0 Sure. I also need somewhere to eat. I'm thinking something on the expensive side and close to the college.	1.0 Alright, there are 33 different restaurants around the college that are expensive. Is there a type of food you are looking for?
0.0  it sounds like you might be a bit dehydrated . Do you feel thirsty most of the day ? 	1.0  yes . I can't seem to drink enough . 
0.0 I heard that you finished my home inspection , and I was wondering how it went . 	1.0  First of all , we need to understand what I was looking for . Do you know what the purpose of an inspection is ? 
0.0 Where is my back pack ? 	1.0  I don't know . Where did you leave it ? 
0.0 Yes, a 3-star guesthouse would be perfect. Free parking too, please!	1.0 There are three 3-star guest houses in Cambridge. Is there a part of town you were interested in staying in?
0.0 Yes, please. I'm looking for a theatre in the centre.	1.0 Yes I have several. Would you like me to recommend one to you?
0.0 any will be fine with me.	1.0 TR1163, your booking was successful, the total fee is 68.6 GBP payable at the station. Reference number is : GFGRNXJT . Will there be anything else today?
0.0  He said I ' d got the flu . 	1.0  Oh dear ! What did he tell you to do ? 
0.0 Great, that is everything, thanks for your help.	1.0 Okay, I hope your visit is wonderful!
0.0 What is your job?	1.0 does your parents let you watch youtube?
0.0 That's good to know . We'll watch for crazy drivers . 	1.0  Hey , guys . Ready for a pick-up game of touch football ? 
0.0 Hiya! I like to play with my son.	1.0 Do you know familiar persons?
0.0 Me too!	1.0 I don't understand why disney would do this.
0.0 Age?	1.0 I am not sure yet.😢
0.0 Here is your bill . It's $ 60 . 	1.0  What's this amount for ? 
0.0 I don't need parking, but the I'd prefer to stay in a guesthouse.	1.0 How about the Warkworth House? They're a moderate guesthouse in the east part of town. Would you like to book a room?
0.0  Yes , we have . What kind of room would you like ? 	1.0  I'd like a suite with an ocean view , please . 
0.0 Thanks a lot for all your help!	1.0 Thank you for contacting us and have a nice day.
0.0 Alright mate? I like to play tennis. I play tennis.	1.0 When did I die?
0.0  How do I use the lotion ? 	1.0  Apply some of the ointment , and rub it into the skin . 
0.0 Good morning . What can I do for you ? 	1.0  Well , I hate to disturb you , but I really can't stand it any more . Can you change my room for me ? It's too noisy . I was woken up several times by the noise the baggage elevator made . It was too much for me . 
0.0 No, that is all I need. Good day.	1.0 You're very welcome! Have a great day!
0.0 Thank you for all of the information. That is exactly what I needed.	1.0 Can I help you with anything else today?
0.0 Can you give me the phone #, address, and postcode for the ADC theatre?	1.0 The phone number is 01223300085.
0.0  That's right . Mom didn't know where to buy chopsticks for you . 	1.0  Don't be silly ! I know how to use knives and forks . 
0.0 Thanks! I'm going to hanging out at the college late tonight, could you get me a taxi back to the hotel at 2:45?	1.0 Okay I've got a white Honda booked for you to pick you up at 2:45 and take you back to your hotel, their number is 07078899267
0.0 Thank you very much.	1.0 Is there anything else I can help you with?
0.0 I live in japan. I love to drive my red hot chili peppers.	1.0 I like to drive my red car😀
0.0 Could I have the address and phone number?	1.0 Certainly. It is located at 5 greens road and the phone number is 01223902168. Do you need anything else?
0.0  Do you have any idea why he treats you worse than the others ? 	1.0  I really have no idea . All I know is that the thought of him really curls my hair ! 
0.0  Now which child is this ? 	1.0  That ’ s Joanna . Joanna hopes to go to college . 
0.0 ConvAI ?	1.0 Anyway, seems like you're not in the mood to say anything. I'll be the one talking then.
0.0 That's all I need for today, thanks!	1.0 It was no problem at all! Have a good one!
0.0  The early bird gets the worm . 	1.0  I know , I know . But I don't want any worms . 
0.0 Thank you for you help!	1.0 Okay anytime. Thank you for calling.
0.0  It's George . 	1.0  Really ? I'm surprised . I didn't know his English was that good . 
0.0 I would like a train to Cambridge, arriving by 09:45.	1.0 TR3207 will arrive by 07.51. Should I book it?
0.0 Yes, I would like an expensive guesthouse please! The area does not matter.	1.0 There are no expensive guesthouses in the area. Would you like a moderately priced guesthouse?
0.0 I'll be staying for 5 nights.	1.0 I have you book for that time, the reference code is UA3N0Q3R .
0.0 Um yes you too, bye bye now!	1.0 good bye and have a good time.
0.0 Hello, I am looking for a train from Peterborough to Cambridge please.	1.0 I am able to book you a train that's on that route but I need to know what day and time you need the train.
0.0 i like to sing , but only in the shower . scared of what others would think lol	1.0 :) and i like to dancing on weekends in my bedroom
0.0 My son is a junior in high school, we are looking at college. Can you tell me about what colleges are in cambridge?	1.0 Sure! What specific part of Cambridge are you interested in? There are colleges in both the west and the centre areas.
0.0 Yes, please. What is its phone number and price range?	1.0 The phone number is 01223 812660 and it is a cheap restaurant.
0.0 Yes, I'm also still looking for a hotel. Some kind of guesthouse, maybe? Although I do need access to parking and wifi.	1.0 Alexander Bed and Breakfast is in the centre near the restaurant, it is 4 stars and in the cheap price range. They offer both internet and wifi.
0.0 No, just as long as it is in the moderate range would be good.	1.0 Okay, I recommend Prezzo in the west. Would you like their information?
0.0 Yes, I would appreciate some help finding a nice college to visit in town. Can you suggest one?	1.0 There are 18 colleges, I'd recommend King's College with a free admission fee.
0.0 No, I can make one myself later. Can you help me find a place to stay in the same area as the restaurant?	1.0 We have several options in the center of town. The best is the University Arms, which is 4 stars and expensive.
0.0 i m doing good 📈 just taking a break from working on trucks	1.0 What do you do?
0.0 Do you have a restaurant that serves international food, that's in the cheap range?	1.0 Alright, I have one location for that: The Missing sock. Would you like me to make you reservations here?
0.0 I need a train to stansted airport on Thursday that arrives by 19:30.	1.0 Sure. Train TR5476 leaves Cambridge at 18:40 and arrives at Stansted Airport at 19:08. Would you like me to book that for you?
0.0  what other important buildings are we going to see on Fifth Avenue ? 	1.0  quite a number . Actually every skyscraper has a history . A few blocks ahead we'll see St.Patrick ' s Cathedral and just across the street will be the world-renowed Rockefeller Center . It's a landmark 
0.0 Yes. 3 people at 13:00 on Thursday.	1.0 I will book that for you now.
0.0  Oh , yeah ? 	1.0  Yes . Don ’ t you think he should be pitied rather than accused ? 
0.0  It's hard to say . The stock market is weird . You never know what will happen tomorrow . 	1.0  Why do you buy stocks , then ? 
0.0  Yes , I have called you three times . What makes you in a daze ? 	1.0  I was thinking about the accident I saw in the morning . I was petrified when two cars collided . I witnessed the traffic accident . 
0.0 Can you please recommend one and give me their address and entrance fee?	1.0 Tenpin is located at cambridge leisure park, clifton way. The entrance fee is unlisted.
0.0  Certainly . A single room is 120 dollars American , per night . 	1.0  Fine . 
0.0 My kids are calling me I need to go	1.0 I have a 1 daughter.
0.0 I'd like to book the Alexander B and B for 6 people, 5 nights, and starts on Thursday. Can I have a reference number, please?	1.0 Done! Your reference number is 45NR6JNN . Do you need help with anything else?
0.0 That was everything. Thank You!	1.0 You're more than welcome!
0.0 I love❤ eating healthy food. Do you love spending money?	1.0 yes it is my favortie thing to spend money
0.0 No that is ok I need to think about it goodbye	1.0 Are you sure there is nothing else I can help you with today?
0.0 Who wants to go first ? Allen ? 	1.0  Uh ... I mostly just like to listen . You're the groom . Why don't you go first ? 
0.0  When you start to work , I ’ ll give you $ 3,000 a month . 	1.0  Thank you , sir . 
0.0 could we possibly discuss my salary some time ? 	1.0  sure . 
0.0 we also have a dog . a poodle .	1.0 i have 2 cats
0.0  What's her outlook ? 	1.0  She was pretty , her hair was the color of rich dark chocolate , waving gently to her shoulders . Her complexion was clear and golden . 
0.0  Would you like a drink ? 	1.0  Let me have a soda . 
0.0 that sounds pretty good . what kind of music do you like ?	1.0 I love pop music and rap music and listen to all kinds of music that is pleasant to the ears
0.0 Taxi ! 	1.0  Where would you like to go ? 
0.0 Yes. Please send be the phone number, address and postcode.	1.0 Their number is 01223311053, postcard is cb21uf and they are located on Bridge Street City Centre.
0.0 How about asian oriental food?	1.0 Kymmoy is in centre, and Saigon City is in north. Would you like more information on one of those?
